Product_ID,URL,Title,Product Description,Price,Cellar,ABV,Closure,Image URL
1,https://www.nicks.com.au/products/2022-30-mile-cabernet-sauvignon,2022 30 Mile Cabernet Sauvignon,"A great value entry level Cabernet Sauvignon that shows surprising concentration.

Impressive colour featuring a dense inky black heart alongside a deep dark red black tinged hue. Pronounced ripe blackcurrant and liquorice aromas mix with some cedary tobacco and spicy dried herb notes. Rich blackcurrant fruits are layered across the medium to full bodied palate with surprising concentration. Ripe mulberry, cedary tobacco and spicy dried herb elements lie underneath. Firm grainy tannins lead into a long amply endowed finish. Great Value.
Drink over the next 2-3 years
Alc. 14%",$19.99,DRINK NOW - 3 YEARS (2025-2028),14%,STELVIN,https://media.nicks.com.au/products/25767581/2022-30-mile-cabernet-sauvignon.jpg
2,https://www.nicks.com.au/products/2022-30-mile-shiraz,2022 30 Mile Shiraz,"A ripe, fleshy quaffer with prominent toasty vanillin oak.

Dense midnight black core with a deep dark red black tinged hue. Elevated dark cherry and liquorice scents intermingle with inky earth and vanillin spice notes. Ripe fleshy dark cherry, plum and liquorice fruits show ample weight and richness across the front half, fading into a prominent toasty vanillin oak and spice back drop. Velvet smooth tannins with a juicy mid length conclusion.
Drink over the next 1-2 years.
Alc. 14%",$11.99,DRINK NOW - 2 YEARS (2025-2027),14%,STELVIN,https://media.nicks.com.au/products/f7e36bd2/2022-30-mile-shiraz.jpg
3,https://www.nicks.com.au/products/2020-a-mano-negroamaro,2020 A-Mano Negroamaro,"From 30-60 year old vines. Dark red in colour with black shaded edges and a dark red hue. Nosing offers up a combination of Morello and dried cherries followed by some liquorice, vanilla and cinnamon notes. Mid weighted with a soft fleshy feel the palate features Morello and dried cherry flavours over vanilla, dried herbs, earth and cinnamon spice. Fine grained tannins with a spicy medium length aftertaste.
Drink over the next 2-3 years.
Alc. 14%",$21.99,DRINK NOW - 3 YEARS (2022-2025),14%,STELVIN,https://media.nicks.com.au/products/523fcffa/2020-amano-negroamaro.jpg
4,https://www.nicks.com.au/products/2018-abtole-reserva-rioja-tempranillo,2018 Abtole Reserva Rioja Tempranillo,"Rich black fruits carry an opulent feel across the mid weighted palate with some prominent vanillin oak in the background.

Deep black dark red colour with a dark red hue. Heady black raspberry, liquorice and dark cherry aromas are followed by some prominent vanillin oak, earthy mocha and spice notes. Rich black raspberry and liquorice fruits carry an opulent feel across the mid weighted palate. Vanillin oak, earthy mocha and spicy mint elements hold court across the back half. Polished yet sturdy tannin structure with a long vanillin oak, earth and spice laden finish.
Drink over the next 3-4 years.
Alc. 14.5%",$21.99,DRINK NOW - 4 YEARS (2025-2029),14.50%,CORK,https://media.nicks.com.au/products/5b5547e9/2018-abtole-reserva-tempranillo.jpg
5,https://www.nicks.com.au/products/2024-ad-hoc-cruel-mistress-pinot-noir,2024 Ad Hoc Cruel Mistress Pinot Noir,"The Pemberton region in Western Australia is renown for it’s Pinot Noir. Winemaker Larry Cherubino utilises his local knowledge and relationships with growers to consistently produce the Cruel Mistress Pinot at a level that delivers exceptional value for money.
Fruit was fermented using a combination of wild fermentation and selected yeasts. Maturation took place in 1-3 year old French oak barrels for 6 months.

Consistently one of the country’s best value Pinots, the Cruel Mistress once again delivers the goods.

Semi translucent red to dark red colour with black toned edges and a light red hue. Showing good aromatic lift, the nose offers up dark cherry, strawberry and rhubarb scents followed by some dried herb, bramble and spicy earth notes. A supple flow of cherry, strawberry and rhubarb flavours are layered across the delicious palate with impressive intensity. Lying underneath are notions of anise, spicy cedar, dried herb and subtle earthy bramble elements. Polished tannins with a long juicy finish that’s quite moreish. Delivers the goods yet again – fantastic value.
Drink over the next 3-4 years.
Alc. 13%",$19.99,DRINK NOW - 4 YEARS (2025-2029),13%,STELVIN,https://media.nicks.com.au/products/6fe3fa62/2024-ad-hoc-cruel-mistress-pinot-noir.jpg
6,https://www.nicks.com.au/products/2010-ada-river-heathcote-cabernet-sauvignon,2010 Ada River Heathcote Cabernet Sauvignon,"Deep black dark red colour with a very dark red hue. Aromas of blackcurrant and liquorice intermingle with dried herb, earthy cedar, leather and spice notes. Mid weighted and still holding onto its fruit, flavours of blackcurrant and liquorice meld into a tertiary lead back drop of dried herbs, cedary tobacco characters, earth and spicy leather. Sturdy yet fine grained tannin structure with a rustic mid length finish.
Drink now.
Alc. 14.4%",$26.99,DRINK NOW (2023),14.40%,STELVIN,https://media.nicks.com.au/products/111266ac/2010-ada-river-cabernet-sauvignon.jpg
7,https://www.nicks.com.au/products/2017-ada-river-heathcote-shiraz,2017 Ada River Heathcote Shiraz,"Totally opaque black dark red colour with a dark red hue. Intense aniseed and black cherry aromas fill the nostrils with some vanillin oak, scorched earth and peppered dried meat notes also evident. Rich, amply weighted and lush, aniseed and blackberry fruits are underscored by toasty vanillin oak and peppered earth characters. Opulent mouthfeel with velvet like yet sturdy tannins providing structure. Finishes with a lingering aniseed and toasty vanillin oak aftertaste.
Drink over the next 2-3 years.
Alc. 14.5%",$24.99,DRINK NOW - 3 YEARS (2023-2026),14.50%,STELVIN,https://media.nicks.com.au/products/4201571b/2017-ada-river-shiraz.jpg
8,https://www.nicks.com.au/products/2024-airlie-bank-pinot-noir,2024 Airlie Bank Pinot Noir,"A delicious, supplely textured Pinot with a savoury medium to long finish.

Semi translucent red to dark red colour with black toned edges and a light red hue. The nose offers up a fragrant bouquet of violets, cherries, strawberries and dried herbs which are followed by bramble, forest floor and spicy clove notes. Delicious cherry, strawberry and rhubarb flavours supplely kiss the palate mixing with dried herb, bramble and spice elements along the way. Polished tannins with a savoury medium to long finish.
Drink over the next 2-3 years.
Alc. 12.5%",$24.99,DRINK NOW - 3 YEARS (2025-2028),12.50%,STELVIN,https://media.nicks.com.au/products/ed3f3e1c/2024-airlie-bank-pinot-noir.jpg
9,https://www.nicks.com.au/products/2023-airlie-bank-garden-red,2023 Airlie Bank Garden Red,"A blend of Grenache, Petit Verdot, Cabernet Franc and Pinot Noir that underwent 100% whole bunch fermentation and maturation in seasoned French oak puncheons. Dark red core with black toned edges and a red to dark red hue. Ripe dark cherry and plum scents intermingle with dried herb, red liquorice and spice notes. Juicy cherry, plum and wild strawberry flavours overlay a red liquorice, pomegranate, fresh herb and spice back drop. Bright acidity and fine grained tannins finishing fresh fruity and spicy.
Drink over the next 2-3 years.
Alc. 12.5%

Other Reviews….
A blend of grenache/petit verdot/cabernet franc/pinot noir and matured in older French puncheons. Instantly appealing with its lifted red fruits, mountain herbs and floral notes. Light to medium bodied, this well-priced, gently juicy yet still nicely structured wine is begging to be served very lightly chilled at your next outdoor gathering. Drink by 2026.
92 Points
Philip Rich – James Halliday’s Australian Wine Companion",$22.99,DRINK NOW - 3 YEARS (2024-2027),12.50%,STELVIN,https://media.nicks.com.au/products/f4c376f1/2023-airlie-bank-garden-red.jpg
10,https://www.nicks.com.au/products/2022-airlie-bank-garden-red,2022 Airlie Bank Garden Red - Last Stocks,"Produced from equal parts Cabernet Franc, Gamay and Grenache utilising 100% whole bunch fermentation with ageing taking place in old French oak. Deep dark purple black core with a bright purple hue. Quite perfumed the nose is attractively scented with violet, freshly crushed cherries, raspberries, clove, incense and spice. Light in body the palate has a delightfully fresh fruit profile of spicy cherries and red currants which overlay a back drop of inky earth and clove. Crunchy acidity and polished tannins with a vibrant red to blue fruited conclusion.
Drink over the next 1-2 years.
Alc. 12.5%",$22.99,DRINK NOW - 2 YEARS (2022-2024),12.50%,STELVIN,https://media.nicks.com.au/products/8308526d/2022-airlie-bank-garden-red.jpg
11,https://www.nicks.com.au/products/2023-alamos-malbec,2023 Alamos Malbec,"Alamos is the entry level label for Argentinian giant Catena offering the best of Mendoza’s high altitude vineyards at an incredible price. Grown on foothills of the Andes Mountains at elevations of 3,000 to 5,000 feet, the intense sunlight, cool evening temperatures and mineral-rich irrigation from melted mountain snow translates to a rich wine with intense flavour characteristics.
Midnight black dark red core with a dark red black tinged hue. Blossoming out of the glass are aromas of blueberry, violet, dark cherry and red liquorice which are trailed by some dried herb and spice notes. The elegant medium bodied palate features juicy blueberry and dark cherry fruits over subtle red liquorice, dried herb characters and spice. Possessing a youthful freshness it has fine grained tannins and a savoury mid length finish.
Drink over the next 2-3 years.
Alc. 13%

Other Reviews…..
Lots of cherry fruit with touches of white pepper and spices. Juicy and vibrant, with soft tannins on the medium-bodied palate. Medium-length finish laden with fruit. Drink now.
91 Points
JamesSuckling.com",$19.99,DRINK NOW - 3 YEARS (2024-2027),13%,STELVIN,https://media.nicks.com.au/products/0c8f500d/2023-alamos-malbec.jpg
12,https://www.nicks.com.au/products/2021-alkina-kin-night-sky-grenache-shiraz-mataro,2021 Alkina Kin Night Sky Grenache Shiraz Mataro,"Certified organic and biodynamic this is a blend of 48% Grenache, 37% Shiraz and 15% Mataro. Dense inky black in colour with a very deep dark purple black hue. Lifted dark raspberry, blackberry and liquorice aromas are followed by hints of vanillin earth and spicy pepper notes. Rich blackberry, liquorice, dark raspberry and dark chocolate flavours have a sturdy backbone of tannins and fresh acidity. Juicy yet robust mouth feel with earth, dried herb and pepper characters lingering underneath. Dry, chalky and firm on the finish with relatively tightly wound aftertaste.
Cellar 5-6 years.
Alc. 14.6%",$49.99,5 - 6 YEARS (2028-2029),14.60%,CORK,https://media.nicks.com.au/products/38e283c1/2021-alkina-wines-kin-night-sky-grenache-shiraz.jpg
13,https://www.nicks.com.au/products/2023-all-saints-grenache-shiraz-mourvedre,2023 All Saints Grenache Shiraz Mourvedre,"Rich, spicy black fruits framed by ripe chewy tannins.

A blend of 47% Grenache, 29% Shiraz, 17% Mourvedre and 7% Cinsault matured in seasoned French oak for a period of 11 months. Deep black dark red colour with a dark red hue. Elevated black raspberry, liquorice and black cherry aromas evolve from the glass followed by some dark plum, spicy vanillin oak and subtle scorched earth notes. Rich and spicy with juicy black raspberry, liquorice and black cherry fruits framed by ripe chewy tannins. Scorched earth and spicy vanilla characters ensue. Fleshy yet slightly robust in its feel with a long deeply fruited finish.
Drink over the next 4-5 years.
Alc. 14.5%",$39.99,DRINK NOW - 5 YEARS (2025-2030),14.50%,STELVIN,https://media.nicks.com.au/products/9ac39ac6/2023-all-saints-grenache-shiraz-mourvedre.jpg
14,https://www.nicks.com.au/products/2023-all-saints-estate-durif,2023 All Saints Estate Durif,"Rich, concentrated and muscular.

Dense pitch black heart with an equally deep dark red black hue. Ripe black cherry, liquorice and dark to black plum fruits intermix with toasty vanillin cedar, earth and blackpepper. Rich, concentrated and muscular, black cherry, liquorice and black plum fruits overlay prominent toasty vanillin oak and peppered earth elements. Robust, tightly wound tannin structure with a chewy medium to long black fruited finish.
Drink over the next 5-6 years.
Alc. 14.5%",$26.99,DRINK NOW - 6 YEARS (2025-2031),14.50%,STELVIN,https://media.nicks.com.au/products/ca29e2bf/2023-all-saints-estate-durif.jpg
15,https://www.nicks.com.au/products/2018-all-saints-estate-shiraz-durif,2018 All Saints Estate Shiraz Durif,"A Rutherglen blend that’s bold, rich and thick.

Matured for 48 months in a mix of 90% French and 10% American oak of which 30% was new. Impenetrable inky black heart with a very deep dark red black hue. Intense ripe morello cherry, black cherry and liquorice aromas mix with vanillin oak, scorched earth, pepper and old leather notes. Bold, rich and thick in it’s feel across the full bodied palate, concentrated black cherry, liquorice and dark plum fruits meld into a spicy vanillin oak, scorched earth, leather and pepper back drop. Ripe, slightly chewy tannins with a long opulent finish that’s complexed by emerging tertiary elements.
Drink over the next 2-3 years.
Alc. 14.9%",$24.99,DRINK NOW - 3 YEARS (2025-2028),14.90%,STELVIN,https://media.nicks.com.au/products/df3cdf69/2018-all-saints-estate-shiraz-durif.jpg
16,https://www.nicks.com.au/products/2024-all-saints-estate-sangiovese-cabernet,2024 All Saints Estate Sangiovese Cabernet,"A ripe, fleshy Sangiovese blend that has a spice laden finish.

Dark red core with black tinged edges and a dark red hue. Aromas of ripe red currant intermix with cherry and red liquorice followed by hints of dried herbs, faint cedary tobacco and spice notes. Ripe and fleshy, the mid weighted palate features generous red currant and cherry flavours over red liquorice, dried herb, delicate tobacco and spicy earth characters. Polished tannins with a juicy conclusion that’s laden with spice.
Drink over the next 2-3 years.
Alc. 14%",$24.99,DRINK NOW - 3 YEARS (2025-2028),14%,STELVIN,https://media.nicks.com.au/products/bacd9599/2024-all-saints-estate-sangiovese-cabernet.jpg
17,https://www.nicks.com.au/products/2023-allevare-sangiovese,2023 Allevare Sangiovese,"Matured in French oak hogsheads, 25% new, for a period of 10 months. Dark red core with black tinged edges and a dark red hue. Nosing offers up dark cherry, red currant, earth, hints of red liquorice and spicy dried herb aromas. Rich and juicy the mid weighted palate is flooded with black cherry and liquorice fruits which meld into a vanillin cedar, earth and spicy tobacco back drop. Grainy tannins lend firmness. Concludes long, ripe and spicy.
Drink over the next 3-4 years.
Alc. 14%",$27.99,DRINK NOW - 4 YEARS (2024-2028),14%,STELVIN,https://media.nicks.com.au/products/e8d388ca/alle-vare.jpg
18,https://www.nicks.com.au/products/2022-angas-and-bremer-shiraz,2022 Angas & Bremer Shiraz,"Plump and opulent with a long succulent conclusion.

Dense inky black colour with a deep dark red black tinged hue. Liquorice, ripe blackberry and dark chocolate scents waft from the glass followed by vanillin oak, earthy mocha and spice notes. Rich and plush, the full bodied palate is awash with ripe blackberry, liquorice and choc mint flavours. Spicy vanillin oak, subtle earthy mocha and peppered fennel characters sit in the background. Plump and opulent it has velvety tannins and a long succulent conclusion.
Drink over the next 4-5 years.
Alc. 14.8%

Other Reviews…..
Langhorne Creek Shiraz – the very mention screams flavour and value and we have both here. Coming from such a good vintage helps, of course. An inky dark maroon, we have rich and ripe chocolate notes as part of a wonderful plushness. Blackberries, mocha, bay leaves, licorice and a hint of blueberries lurking in the background, with a burly earthiness. Serious length here and sleek tannins. This has a ten to fifteen year future. Great buying. Drink 2025-2040.
93 Points
Ken Gargett – WinePilot.com",$19.99,DRINK NOW - 5 YEARS (2025-2030),14.80%,STELVIN,https://media.nicks.com.au/products/0273856b/2022-angas-and-bremer-shiraz.jpg
